Date,Price,Open,High,Low,Vol.,Change %
8-Feb-18,"2,581.00","2,685.01","2,685.27","2,580.56",0,-3.75
7-Feb-18,"2,681.66","2,690.95","2,727.67","2,681.33",0,-0.5
6-Feb-18,"2,695.14","2,614.78","2,701.04","2,593.07",0,1.74
5-Feb-18,"2,648.94","2,741.06","2,763.39","2,638.17",0,-4.1
2-Feb-18,"2,762.13","2,808.92","2,808.92","2,759.97",0,-2.12
1-Feb-18,"2,821.98","2,816.45","2,835.96","2,812.70",0,-0.06
31-Jan-18,"2,823.81","2,832.41","2,839.26","2,813.04",0,0.05
30-Jan-18,"2,822.43","2,832.74","2,837.75","2,818.27",0,-1.09
29-Jan-18,"2,853.53","2,867.23","2,870.62","2,851.48",0,-0.67
26-Jan-18,"2,872.87","2,847.48","2,872.87","2,846.18",0,1.18
25-Jan-18,"2,839.25","2,846.24","2,848.56","2,830.94",0,0.06
24-Jan-18,"2,837.54","2,845.42","2,852.97","2,824.81",0,-0.06
23-Jan-18,"2,839.13","2,835.05","2,842.24","2,830.59",0,0.22
22-Jan-18,"2,832.97","2,809.16","2,833.03","2,808.12",0,0.81
19-Jan-18,"2,810.30","2,802.60","2,810.33","2,798.08",0,0.44
18-Jan-18,"2,798.03","2,802.40","2,805.83","2,792.56",0,-0.16
17-Jan-18,"2,802.56","2,784.99","2,807.04","2,778.38",0,0.94
16-Jan-18,"2,776.42","2,798.96","2,807.54","2,768.64",0,-0.35
12-Jan-18,"2,786.24","2,770.18","2,787.85","2,769.64",0,0.67
11-Jan-18,"2,767.56","2,752.97","2,767.56","2,752.78",0,0.7
10-Jan-18,"2,748.23","2,745.55","2,750.80","2,736.06",0,-0.11
9-Jan-18,"2,751.29","2,751.15","2,759.14","2,747.86",0,0.13
8-Jan-18,"2,747.71","2,742.67","2,748.51","2,737.60",0,0.17
5-Jan-18,"2,743.15","2,731.33","2,743.45","2,727.92",0,0.7
4-Jan-18,"2,723.99","2,719.31","2,729.29","2,719.07",0,0.4
3-Jan-18,"2,713.06","2,697.85","2,714.37","2,697.77",0,0.64
2-Jan-18,"2,695.81","2,683.73","2,695.89","2,682.36",0,0.83
29-Dec-17,"2,673.61","2,689.15","2,692.12","2,673.61",0,-0.52
28-Dec-17,"2,687.54","2,686.10","2,687.66","2,682.69",0,0.18
27-Dec-17,"2,682.62","2,682.10","2,685.64","2,678.91",0,0.08
26-Dec-17,"2,680.50","2,679.09","2,682.74","2,677.96",0,-0.11
22-Dec-17,"2,683.34","2,684.22","2,685.35","2,678.13",0,-0.05
21-Dec-17,"2,684.57","2,683.02","2,692.64","2,682.40",0,0.2
20-Dec-17,"2,679.25","2,688.18","2,691.01","2,676.11",0,-0.08
19-Dec-17,"2,681.47","2,692.71","2,694.44","2,680.74",0,-0.32
18-Dec-17,"2,690.16","2,685.92","2,694.97","2,685.92",0,0.54
15-Dec-17,"2,675.81","2,660.63","2,679.63","2,659.14",0,0.9
14-Dec-17,"2,652.01","2,665.87","2,668.09","2,652.01",0,-0.41
13-Dec-17,"2,662.85","2,667.59","2,671.88","2,662.85",0,-0.05
12-Dec-17,"2,664.11","2,661.73","2,669.72","2,659.78",0,0.15
11-Dec-17,"2,659.99","2,652.19","2,660.33","2,651.47",0,0.32
8-Dec-17,"2,651.50","2,646.21","2,651.65","2,644.10",0,0.55
7-Dec-17,"2,636.98","2,628.38","2,640.99","2,626.53",0,0.29
6-Dec-17,"2,629.27","2,626.24","2,634.41","2,624.75",0,-0.01
5-Dec-17,"2,629.57","2,639.78","2,648.72","2,627.73",0,-0.37
4-Dec-17,"2,639.44","2,657.19","2,665.19","2,639.03",0,-0.11
1-Dec-17,"2,642.22","2,645.10","2,650.62","2,605.52",0,-0.2
30-Nov-17,"2,647.58","2,633.93","2,657.74","2,633.93",0,0.82
29-Nov-17,"2,626.07","2,627.82","2,634.89","2,620.32",0,-0.04
28-Nov-17,"2,627.04","2,605.94","2,627.69","2,605.44",0,0.98
27-Nov-17,"2,601.42","2,602.66","2,606.41","2,598.87",0,-0.04
24-Nov-17,"2,602.42","2,600.42","2,604.21","2,600.42",0,0.21
22-Nov-17,"2,597.08","2,600.31","2,600.94","2,595.23",0,-0.08
21-Nov-17,"2,599.03","2,589.17","2,601.19","2,589.17",0,0.65
20-Nov-17,"2,582.14","2,579.49","2,584.64","2,578.24",0,0.13
17-Nov-17,"2,578.85","2,582.94","2,583.96","2,577.62",0,-0.26
16-Nov-17,"2,585.64","2,572.95","2,590.09","2,572.95",0,0.82
15-Nov-17,"2,564.62","2,569.45","2,572.84","2,557.45",0,-0.55
14-Nov-17,"2,578.87","2,577.75","2,579.66","2,566.56",0,-0.23
13-Nov-17,"2,584.84","2,576.53","2,587.66","2,574.48",0,0.1
10-Nov-17,"2,582.30","2,580.18","2,583.81","2,575.57",0,-0.09
9-Nov-17,"2,584.62","2,584.00","2,586.50","2,566.33",0,-0.38
8-Nov-17,"2,594.38","2,588.71","2,595.47","2,585.02",0,0.14
7-Nov-17,"2,590.64","2,592.11","2,597.02","2,584.35",0,-0.02
6-Nov-17,"2,591.13","2,587.47","2,593.38","2,585.66",0,0.13
3-Nov-17,"2,587.84","2,581.93","2,588.42","2,576.77",0,0.31
2-Nov-17,"2,579.85","2,579.46","2,581.11","2,566.17",0,0.02
1-Nov-17,"2,579.36","2,583.21","2,588.40","2,574.92",0,0.16
31-Oct-17,"2,575.26","2,575.99","2,578.29","2,572.15",0,0.09
30-Oct-17,"2,572.83","2,577.75","2,580.03","2,568.25",0,-0.32
27-Oct-17,"2,581.07","2,570.26","2,582.98","2,565.94",0,0.81
26-Oct-17,"2,560.40","2,560.08","2,567.07","2,559.80",0,0.13
25-Oct-17,"2,557.15","2,566.52","2,567.40","2,544.00",0,-0.47
24-Oct-17,"2,569.13","2,568.66","2,572.18","2,565.58",0,0.16
23-Oct-17,"2,564.98","2,578.08","2,578.29","2,564.33",0,-0.4
20-Oct-17,"2,575.21","2,567.56","2,575.44","2,567.56",0,0.51
19-Oct-17,"2,562.10","2,553.39","2,562.36","2,547.92",0,0.03
18-Oct-17,"2,561.26","2,562.87","2,564.11","2,559.67",0,0.07
17-Oct-17,"2,559.36","2,557.17","2,559.71","2,554.69",0,0.07
16-Oct-17,"2,557.64","2,555.57","2,559.47","2,552.64",0,0.18
13-Oct-17,"2,553.17","2,555.66","2,557.65","2,552.09",0,0.09
12-Oct-17,"2,550.93","2,552.88","2,555.33","2,548.31",0,-0.17
11-Oct-17,"2,555.24","2,550.62","2,555.24","2,547.95",0,0.18
10-Oct-17,"2,550.64","2,549.99","2,555.23","2,544.86",0,0.23
9-Oct-17,"2,544.73","2,551.39","2,551.82","2,541.60",0,-0.18
6-Oct-17,"2,549.33","2,547.44","2,549.41","2,543.79",0,-0.11
5-Oct-17,"2,552.07","2,540.86","2,552.51","2,540.02",0,0.56
4-Oct-17,"2,537.74","2,533.48","2,540.53","2,531.80",0,0.12
3-Oct-17,"2,534.58","2,530.34","2,535.13","2,528.85",0,0.22
2-Oct-17,"2,529.12","2,521.20","2,529.23","2,520.40",0,0.39
29-Sep-17,"2,519.36","2,509.96","2,519.44","2,507.99",0,0.37
28-Sep-17,"2,510.06","2,503.41","2,510.81","2,502.93",0,0.12
27-Sep-17,"2,507.04","2,503.30","2,511.75","2,495.91",0,0.41
26-Sep-17,"2,496.84","2,501.04","2,503.51","2,495.12",0,0.01
25-Sep-17,"2,496.66","2,499.39","2,502.54","2,488.03",0,-0.22
22-Sep-17,"2,502.22","2,497.26","2,503.47","2,496.54",0,0.06
21-Sep-17,"2,500.60","2,507.16","2,507.16","2,499.00",0,-0.3
20-Sep-17,"2,508.24","2,506.84","2,508.85","2,496.67",0,0.06
19-Sep-17,"2,506.65","2,506.29","2,507.84","2,503.19",0,0.11
18-Sep-17,"2,503.87","2,502.51","2,508.32","2,499.92",0,0.15
15-Sep-17,"2,500.23","2,495.67","2,500.23","2,493.16",0,0.18
14-Sep-17,"2,495.62","2,494.56","2,498.43","2,491.35",0,-0.11
13-Sep-17,"2,498.37","2,493.89","2,498.37","2,492.14",0,0.08
12-Sep-17,"2,496.48","2,491.94","2,496.77","2,490.37",0,0.34
11-Sep-17,"2,488.11","2,474.52","2,488.95","2,474.52",0,1.08
8-Sep-17,"2,461.43","2,462.25","2,467.11","2,459.40",0,-0.15
7-Sep-17,"2,465.10","2,468.06","2,468.62","2,460.29",0,-0.02
6-Sep-17,"2,465.54","2,463.83","2,469.64","2,459.20",0,0.31
5-Sep-17,"2,457.85","2,470.35","2,471.97","2,446.55",0,-0.76
1-Sep-17,"2,476.55","2,474.42","2,480.38","2,473.85",0,0.2
31-Aug-17,"2,471.65","2,462.65","2,475.01","2,462.65",0,0.57
30-Aug-17,"2,457.59","2,446.06","2,460.31","2,443.77",0,0.46
29-Aug-17,"2,446.30","2,431.94","2,449.19","2,428.20",0,0.08
28-Aug-17,"2,444.24","2,447.35","2,449.12","2,439.03",0,0.05
25-Aug-17,"2,443.05","2,444.72","2,453.96","2,442.22",0,0.17
24-Aug-17,"2,438.97","2,447.91","2,450.39","2,436.19",0,-0.21
23-Aug-17,"2,444.04","2,444.88","2,448.91","2,441.42",0,-0.35
22-Aug-17,"2,452.51","2,433.75","2,454.77","2,433.67",0,0.99
21-Aug-17,"2,428.37","2,425.50","2,430.58","2,417.35",0,0.12
18-Aug-17,"2,425.55","2,427.64","2,440.27","2,420.69",0,-0.18
17-Aug-17,"2,430.01","2,462.95","2,465.02","2,430.01",0,-1.54
16-Aug-17,"2,468.11","2,468.63","2,474.93","2,463.86",0,0.14
15-Aug-17,"2,464.61","2,468.66","2,468.90","2,461.61",0,-0.05
14-Aug-17,"2,465.84","2,454.96","2,468.22","2,454.96",0,1
11-Aug-17,"2,441.32","2,441.04","2,448.09","2,437.85",0,0.13
10-Aug-17,"2,438.21","2,465.38","2,465.38","2,437.75",0,-1.45
9-Aug-17,"2,474.02","2,465.35","2,474.41","2,462.08",0,-0.04
8-Aug-17,"2,474.92","2,478.35","2,490.87","2,470.32",0,-0.24
7-Aug-17,"2,480.91","2,477.14","2,480.95","2,475.88",0,0.16
4-Aug-17,"2,476.83","2,476.88","2,480.00","2,472.08",0,0.19
3-Aug-17,"2,472.16","2,476.03","2,476.03","2,468.85",0,-0.22
2-Aug-17,"2,477.57","2,480.38","2,480.38","2,466.48",0,0.05
1-Aug-17,"2,476.35","2,477.10","2,478.51","2,471.14",0,0.24
31-Jul-17,"2,470.30","2,475.94","2,477.96","2,468.53",0,-0.07
28-Jul-17,"2,472.10","2,469.12","2,473.53","2,464.66",0,-0.13
27-Jul-17,"2,475.42","2,482.76","2,484.04","2,459.93",0,-0.1
26-Jul-17,"2,477.83","2,479.97","2,481.69","2,474.94",0,0.03
25-Jul-17,"2,477.13","2,477.88","2,481.24","2,474.91",0,0.29
24-Jul-17,"2,469.91","2,472.04","2,473.10","2,466.32",0,-0.11
21-Jul-17,"2,472.54","2,467.40","2,472.54","2,465.06",0,-0.04
20-Jul-17,"2,473.45","2,475.56","2,477.62","2,468.43",0,-0.02
19-Jul-17,"2,473.83","2,463.85","2,473.83","2,463.85",0,0.54
18-Jul-17,"2,460.61","2,455.88","2,460.92","2,450.34",0,0.06
17-Jul-17,"2,459.14","2,459.50","2,462.82","2,457.16",0,-0.01
14-Jul-17,"2,459.27","2,449.16","2,463.54","2,446.69",0,0.47
13-Jul-17,"2,447.83","2,444.99","2,449.32","2,441.69",0,0.19
12-Jul-17,"2,443.25","2,435.75","2,445.76","2,435.75",0,0.73
11-Jul-17,"2,425.53","2,427.35","2,429.30","2,412.79",0,-0.08
10-Jul-17,"2,427.43","2,424.51","2,432.00","2,422.27",0,0.09
7-Jul-17,"2,425.18","2,413.52","2,426.92","2,413.52",0,0.64
6-Jul-17,"2,409.75","2,423.44","2,424.28","2,407.70",0,-0.94
5-Jul-17,"2,432.54","2,430.78","2,434.90","2,422.05",0,0.15
3-Jul-17,"2,429.01","2,431.39","2,439.17","2,428.69",0,0.23
30-Jun-17,"2,423.41","2,429.20","2,432.71","2,421.65",0,0.15
29-Jun-17,"2,419.70","2,442.38","2,442.73","2,405.70",0,-0.86
28-Jun-17,"2,440.69","2,428.70","2,442.97","2,428.02",0,0.88
27-Jun-17,"2,419.38","2,436.34","2,440.15","2,419.38",0,-0.81
26-Jun-17,"2,439.07","2,443.32","2,450.42","2,437.03",0,0.03
23-Jun-17,"2,438.30","2,434.65","2,441.40","2,431.11",0,0.16
22-Jun-17,"2,434.50","2,437.40","2,441.62","2,433.27",0,-0.05
21-Jun-17,"2,435.61","2,439.31","2,442.23","2,430.74",0,-0.06
20-Jun-17,"2,437.03","2,450.66","2,450.66","2,436.60",0,-0.67
19-Jun-17,"2,453.46","2,442.55","2,453.82","2,441.79",0,0.83
16-Jun-17,"2,433.15","2,431.24","2,433.15","2,422.88",0,0.03
15-Jun-17,"2,432.46","2,424.14","2,433.95","2,418.53",0,-0.22
14-Jun-17,"2,437.92","2,443.75","2,443.75","2,428.34",0,-0.1
13-Jun-17,"2,440.35","2,434.15","2,441.49","2,431.28",0,0.45
12-Jun-17,"2,429.39","2,425.88","2,430.38","2,419.97",0,-0.1
9-Jun-17,"2,431.77","2,436.39","2,446.20","2,415.70",0,-0.08
8-Jun-17,"2,433.79","2,434.27","2,439.27","2,427.94",0,0.03
7-Jun-17,"2,433.14","2,432.03","2,435.28","2,424.75",0,0.16
6-Jun-17,"2,429.33","2,431.92","2,436.21","2,428.12",0,-0.28
5-Jun-17,"2,436.10","2,437.83","2,439.55","2,434.32",0,-0.12
2-Jun-17,"2,439.07","2,431.28","2,440.23","2,427.71",0,0.37
1-Jun-17,"2,430.06","2,415.65","2,430.06","2,413.54",0,0.76
31-May-17,"2,411.80","2,415.63","2,415.99","2,403.59",0,-0.05
30-May-17,"2,412.91","2,411.67","2,415.26","2,409.43",0,-0.12
26-May-17,"2,415.82","2,414.50","2,416.68","2,412.20",0,0.03
25-May-17,"2,415.07","2,409.54","2,418.71","2,408.01",0,0.44
24-May-17,"2,404.39","2,401.41","2,405.58","2,397.99",0,0.25
23-May-17,"2,398.42","2,397.04","2,400.85","2,393.88",0,0.18
22-May-17,"2,394.02","2,387.21","2,395.46","2,386.92",0,0.52
19-May-17,"2,381.73","2,371.37","2,389.06","2,370.43",0,0.68
18-May-17,"2,365.72","2,354.69","2,375.74","2,352.72",0,0.37
17-May-17,"2,357.03","2,382.95","2,384.87","2,356.21",0,-1.82
16-May-17,"2,400.67","2,404.55","2,405.77","2,396.05",0,-0.07
15-May-17,"2,402.32","2,393.98","2,404.05","2,393.94",0,0.48
12-May-17,"2,390.90","2,392.44","2,392.44","2,387.19",0,-0.15
11-May-17,"2,394.44","2,394.84","2,395.72","2,381.74",0,-0.22
10-May-17,"2,399.63","2,396.79","2,399.74","2,392.79",0,0.11
9-May-17,"2,396.92","2,401.58","2,403.87","2,392.44",0,-0.1
8-May-17,"2,399.38","2,399.94","2,401.36","2,393.92",0,0
5-May-17,"2,399.29","2,392.37","2,399.29","2,389.38",0,0.41
4-May-17,"2,389.52","2,389.79","2,391.43","2,380.35",0,0.06
3-May-17,"2,388.13","2,386.50","2,389.82","2,379.75",0,-0.13
2-May-17,"2,391.17","2,391.05","2,392.93","2,385.82",0,0.12
1-May-17,"2,388.33","2,388.50","2,394.49","2,384.83",0,0.17
28-Apr-17,"2,384.20","2,393.68","2,393.68","2,382.36",0,-0.19
27-Apr-17,"2,388.77","2,389.70","2,392.10","2,382.68",0,0.06
26-Apr-17,"2,387.45","2,388.98","2,398.16","2,386.76",0,-0.05
25-Apr-17,"2,388.61","2,381.51","2,392.48","2,381.15",0,0.61
24-Apr-17,"2,374.15","2,370.33","2,376.98","2,369.19",0,1.08
21-Apr-17,"2,348.69","2,354.74","2,356.18","2,344.51",0,-0.3
20-Apr-17,"2,355.84","2,342.69","2,361.37","2,340.91",0,0.76
19-Apr-17,"2,338.17","2,346.79","2,352.63","2,335.05",0,-0.17
18-Apr-17,"2,342.19","2,342.53","2,348.35","2,334.54",0,-0.29
17-Apr-17,"2,349.01","2,332.62","2,349.14","2,332.51",0,0.86
13-Apr-17,"2,328.95","2,341.98","2,348.26","2,328.95",0,-0.68
12-Apr-17,"2,344.93","2,352.15","2,352.72","2,341.18",0,-0.38
11-Apr-17,"2,353.78","2,353.92","2,355.22","2,337.25",0,-0.14
10-Apr-17,"2,357.16","2,357.16","2,366.37","2,351.50",0,0.07
7-Apr-17,"2,355.54","2,356.59","2,363.76","2,350.74",0,-0.08
6-Apr-17,"2,357.49","2,353.79","2,364.16","2,348.90",0,0.19
5-Apr-17,"2,352.95","2,366.59","2,378.36","2,350.52",0,-0.31
4-Apr-17,"2,360.16","2,354.76","2,360.53","2,350.72",0,0.06
3-Apr-17,"2,358.84","2,362.34","2,365.87","2,344.73",0,-0.16
31-Mar-17,"2,362.72","2,364.82","2,370.35","2,362.60",0,-0.23
30-Mar-17,"2,368.06","2,361.31","2,370.42","2,358.58",0,0.29
29-Mar-17,"2,361.13","2,356.54","2,363.36","2,352.94",0,0.11
28-Mar-17,"2,358.57","2,339.79","2,363.78","2,337.63",0,0.73
27-Mar-17,"2,341.59","2,329.11","2,344.90","2,322.25",0,-0.1
24-Mar-17,"2,343.98","2,350.42","2,356.22","2,335.74",0,-0.08
23-Mar-17,"2,345.96","2,345.97","2,358.92","2,342.13",0,-0.11
22-Mar-17,"2,348.45","2,343.00","2,351.81","2,336.45",0,0.19
21-Mar-17,"2,344.02","2,379.32","2,381.93","2,341.90",0,-1.24
20-Mar-17,"2,373.47","2,378.24","2,379.55","2,369.66",0,-0.2
17-Mar-17,"2,378.25","2,383.71","2,385.71","2,377.64",0,-0.13
16-Mar-17,"2,381.38","2,387.71","2,388.10","2,377.18",0,-0.16
15-Mar-17,"2,385.26","2,370.34","2,390.01","2,368.94",0,0.84
14-Mar-17,"2,365.45","2,368.55","2,368.55","2,358.18",0,-0.34
13-Mar-17,"2,373.47","2,371.56","2,374.42","2,368.52",0,0.04
10-Mar-17,"2,372.60","2,372.52","2,376.86","2,363.04",0,0.33
9-Mar-17,"2,364.87","2,363.49","2,369.08","2,354.54",0,0.08
8-Mar-17,"2,362.98","2,369.81","2,373.09","2,361.01",0,-0.23
7-Mar-17,"2,368.39","2,370.74","2,375.12","2,365.51",0,-0.29
6-Mar-17,"2,375.31","2,375.23","2,378.80","2,367.98",0,-0.33
3-Mar-17,"2,383.12","2,380.92","2,383.89","2,375.39",0,0.05
2-Mar-17,"2,381.92","2,394.75","2,394.75","2,380.17",0,-0.59
1-Mar-17,"2,395.96","2,380.13","2,400.98","2,380.13",0,1.37
28-Feb-17,"2,363.64","2,366.08","2,367.79","2,358.96",0,-0.26
27-Feb-17,"2,369.75","2,365.23","2,371.54","2,361.87",0,0.1
24-Feb-17,"2,367.34","2,355.73","2,367.34","2,352.87",0,0.15
23-Feb-17,"2,363.81","2,367.50","2,368.26","2,355.09",0,0.04
22-Feb-17,"2,362.82","2,361.11","2,365.13","2,358.34",0,-0.11
21-Feb-17,"2,365.38","2,354.91","2,366.71","2,354.91",0,0.6
17-Feb-17,"2,351.16","2,343.01","2,351.16","2,339.58",0,0.17
16-Feb-17,"2,347.22","2,349.64","2,351.31","2,338.87",0,-0.09
15-Feb-17,"2,349.25","2,335.58","2,351.30","2,334.81",0,0.5
14-Feb-17,"2,337.58","2,326.12","2,337.58","2,322.17",0,0.4
13-Feb-17,"2,328.25","2,321.72","2,331.58","2,321.42",0,0.52
10-Feb-17,"2,316.10","2,312.27","2,319.23","2,311.10",0,0.36
9-Feb-17,"2,307.87","2,296.70","2,311.08","2,296.61",0,0.58
8-Feb-17,"2,294.67","2,289.55","2,295.91","2,285.38",0,0.07
7-Feb-17,"2,293.08","2,295.87","2,299.40","2,290.16",0,0.02
6-Feb-17,"2,292.56","2,294.28","2,296.18","2,288.57",0,-0.21
3-Feb-17,"2,297.42","2,288.54","2,298.31","2,287.88",0,0.73
2-Feb-17,"2,280.85","2,276.69","2,283.97","2,271.65",0,0.06
1-Feb-17,"2,279.55","2,285.59","2,289.14","2,272.44",0,0.03
31-Jan-17,"2,278.87","2,274.02","2,279.09","2,267.21",0,-0.09
30-Jan-17,"2,280.90","2,286.01","2,286.01","2,268.04",0,-0.6
27-Jan-17,"2,294.69","2,299.02","2,299.02","2,291.62",0,-0.09
26-Jan-17,"2,296.68","2,298.63","2,300.99","2,294.08",0,-0.07
25-Jan-17,"2,298.37","2,288.88","2,299.55","2,288.88",0,0.8
24-Jan-17,"2,280.07","2,267.88","2,284.63","2,266.68",0,0.66
23-Jan-17,"2,265.20","2,267.78","2,271.78","2,257.02",0,-0.27
20-Jan-17,"2,271.31","2,269.96","2,276.96","2,265.01",0,0.34
19-Jan-17,"2,263.69","2,271.90","2,274.33","2,258.41",0,-0.36
18-Jan-17,"2,271.89","2,269.14","2,272.01","2,263.35",0,0.18
17-Jan-17,"2,267.89","2,269.14","2,272.08","2,262.81",0,-0.3
13-Jan-17,"2,274.64","2,272.74","2,278.68","2,271.51",0,0.18
12-Jan-17,"2,270.44","2,271.14","2,271.78","2,254.25",0,-0.21
11-Jan-17,"2,275.32","2,268.60","2,275.32","2,260.83",0,0.28
10-Jan-17,"2,268.90","2,269.72","2,279.27","2,265.27",0,0
9-Jan-17,"2,268.90","2,273.59","2,275.49","2,268.90",0,-0.35
6-Jan-17,"2,276.98","2,271.14","2,282.10","2,264.06",0,0.35
5-Jan-17,"2,269.00","2,268.18","2,271.50","2,260.45",0,-0.08
4-Jan-17,"2,270.75","2,261.60","2,272.82","2,261.60",0,0.57
3-Jan-17,"2,257.83","2,251.57","2,263.88","2,245.13",0,0.85
